-81.92	-81.92	4.28	25.68	29.72	-81.92	-6.0	43.64	-81.92	-81.92	-39.04	-1.68	2.8	-81.92	-59.96	-0.4
81.88	81.88	-0.48	10.08	53.0	81.88	-7.84	20.64	81.88	81.88	-40.56	-9.2	1.56	81.88	-63.28	-20.08
-81.92	-81.92	-4.04	6.96	21.96	-81.92	-11.8	7.52	-81.92	-81.92	-55.52	-14.96	-2.12	-81.92	-49.84	-17.6
81.88	81.88	-5.6	9.48	21.48	81.88	-9.08	13.16	81.88	81.88	-44.32	-11.88	-21.72	81.88	-39.36	-13.2
-81.92	-81.92	-7.08	6.88	21.92	-81.92	-11.36	10.24	-81.92	-81.92	-56.84	-14.92	-12.16	-81.92	-67.16	-38.76
81.88	81.88	-3.36	17.0	23.16	81.88	-9.36	36.84	81.88	81.88	-52.32	-9.6	-7.0	81.88	-57.72	-10.64
-81.92	-81.92	8.4	31.96	16.08	-81.92	4.76	61.76	-81.92	-81.92	-36.64	5.64	-16.12	-81.92	-27.92	15.6
81.88	81.88	-9.96	3.92	35.0	81.88	-16.92	15.36	81.88	81.88	-49.8	-4.88	6.4	1.16	-57.56	8.48
-81.92	-81.92	5.32	27.92	17.08	-81.92	8.4	42.76	-81.92	-81.92	-34.52	-8.52	-26.08	-76.84	-12.4	-9.6
81.88	76.76	-9.48	-1.36	31.52	81.88	-19.56	15.56	81.88	81.88	-48.68	-5.92	-4.24	81.88	-13.32	9.0
-81.92	-81.92	-6.48	-2.88	18.92	-81.92	-19.04	1.64	-81.92	-81.92	-51.24	-20.04	-27.08	81.88	-21.96	4.44
-81.92	-81.92	8.76	9.08	34.6	-81.92	1.8	16.92	-81.92	81.88	-33.32	3.16	10.6	-81.92	-46.8	18.88
81.88	81.88	-0.2	23.44	13.52	81.88	-11.96	44.6	81.88	-81.92	-48.48	-10.44	-12.4	81.88	-18.72	6.08
81.88	81.88	0.68	-2.24	24.76	81.88	-2.68	16.48	81.88	81.88	-46.64	-3.72	-3.52	-81.92	-48.28	-4.88
81.88	81.88	1.16	8.24	38.32	81.88	-3.8	29.8	81.88	81.88	-44.12	-30.08	-3.76	81.88	-11.68	-15.76
-81.92	-81.92	4.32	16.44	20.04	-81.92	4.28	44.28	-81.92	-81.92	-34.96	-5.24	2.36	-81.92	-20.72	1.16
81.88	81.88	-11.12	-28.72	19.64	81.88	-17.0	-15.28	81.88	81.88	-37.88	-20.28	-7.72	81.88	-21.48	-23.84
-81.92	-81.92	12.6	12.72	29.16	-81.92	11.36	31.6	-81.92	-81.92	-8.68	3.08	-0.28	-81.92	-44.68	12.4
81.88	81.88	10.92	1.2	31.32	81.88	1.56	-4.04	81.88	81.88	-18.28	-11.04	-3.92	81.88	-28.24	-1.84
-81.92	-81.92	10.56	16.88	25.76	-81.92	10.0	44.92	-81.92	-81.92	-8.52	2.76	-6.44	-81.92	-25.96	15.68
81.88	81.88	0.72	3.36	36.08	81.88	10.6	19.68	81.88	81.88	-26.76	-16.28	-9.56	81.88	-17.76	-8.2
-81.92	-81.92	24.12	32.4	24.6	-81.92	20.52	44.24	-81.92	-81.92	4.6	19.76	-7.32	-81.92	-14.84	27.6
81.88	81.88	4.68	-0.28	25.76	81.88	-4.28	7.68	81.88	81.88	-14.84	-4.44	-7.0	81.88	-21.16	9.72
-81.92	-81.92	46.92	58.88	22.2	-81.92	40.44	74.12	-81.92	-81.92	34.84	42.36	-11.28	-70.88	29.44	53.76
81.88	81.88	17.84	13.12	37.92	81.88	-4.16	13.2	81.88	81.88	8.16	16.04	0.28	-81.92	-31.6	12.56
-81.92	-81.92	51.16	53.28	23.92	-81.92	39.36	69.52	-81.92	-81.92	39.24	36.44	-8.56	81.88	36.8	42.4
81.88	81.88	32.2	22.64	34.8	81.88	4.52	17.12	81.88	81.88	24.0	16.28	-1.84	81.88	40.6	31.92
57.92	5.76	44.56	32.52	23.88	-81.92	25.84	25.84	-81.92	-81.92	22.92	25.28	-16.52	81.88	45.76	51.52
-81.92	-81.92	55.32	52.56	29.24	-81.92	44.4	55.36	-81.92	-80.52	46.24	40.76	2.72	-81.92	25.2	51.4
81.88	81.88	41.88	24.72	26.64	81.88	25.32	19.32	81.88	-81.92	24.24	19.56	-6.04	81.88	60.92	35.04
-81.92	-44.16	63.04	56.96	28.4	-13.24	51.2	66.6	81.88	81.88	41.4	40.28	-9.64	-81.92	32.52	39.2
81.88	81.88	49.0	31.24	25.88	81.88	22.92	17.92	81.88	81.88	39.8	24.72	-0.68	81.88	57.96	9.16
-81.92	-81.92	57.76	44.44	1.48	-81.92	51.08	50.04	-81.92	-81.92	27.48	22.72	-20.16	-81.92	55.88	44.68
81.88	81.88	53.52	43.36	8.4	81.88	43.08	56.04	81.88	81.88	32.08	21.04	-9.28	81.88	70.88	7.12
